Rank,Company,Headquarters,Industry,Sales ($B),Profit ($B),Assets ($B),Market Value ($B),Profit Margin,ROA,Market to Assets,Anomaly,High Profit,PE_Target_Size,Investment_Score,PE_Sweet_Spot,Cluster,Cluster_Label
1,JPMorganChase,United States,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.20820034372698257,0.0136213646147421,0.15553505619730784,False,1,0,0.11983569457615144,0,2,Value Opportunities
2,Berkshire Hathaway,United States,Insurance,55.043749999999996,4.715262500000001,173.4175,80.9075,0.23961446302129608,0.07713107082192255,0.992702880715499,False,1,0,0.3252387896803873,0,2,Value Opportunities
3,ICBC,China,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.22905027932960895,0.007600992733905451,0.03757587537003259,False,1,0,0.1021756838994123,0,2,Value Opportunities
4,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,Oil & Gas Operations,55.043749999999996,4.715262500000001,173.4175,80.9075,0.21861918150577944,0.15907668132259012,2.5787637784289106,False,1,0,0.6668311008171299,0,2,Value Opportunities
5,Amazon,United States,Retail and Wholesale,55.043749999999996,4.715262500000001,173.4175,80.9075,0.0928741613894288,0.09481668773704172,3.209588887644226,False,0,0,0.7169941171794334,0,2,Value Opportunities
6,Bank of America,United States,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.1417086449905867,0.008314872425673699,0.08958565960673788,False,1,0,0.07792653888785173,0,2,Value Opportunities
7,China Construction Bank,China,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.23710029993391285,0.008391115205118147,0.03954654874007333,False,1,0,0.10610587580362707,0,2,Value Opportunities
8,Agricultural Bank of China,China,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.19795980204019797,0.006617552720962111,0.035874901243154546,False,1,0,0.08900592215309494,0,2,Value Opportunities
9,Alphabet,United States,IT Software & Services,55.043749999999996,4.715262500000001,173.4175,80.9075,0.308925440427486,0.15907668132259012,3.2696614925933623,False,1,0,0.8411331472187029,0,2,Value Opportunities
9,Microsoft,United States,IT Software & Services,55.043749999999996,4.715262500000001,173.4175,80.9075,0.35427807486631013,0.15907668132259012,3.2696614925933623,False,1,0,0.8592742009942327,0,2,Value Opportunities
11,Apple,United States,Technology Hardware & Equipment,55.043749999999996,4.715262500000001,173.4175,80.9075,0.24295027289266224,0.15907668132259012,3.2696614925933623,False,1,0,0.8147430802047735,0,2,Value Opportunities
12,Bank of China,China,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.18243434058175653,0.00665179794185546,0.03392005074312734,False,1,0,0.08241846555807027,0,2,Value Opportunities
13,ExxonMobil,United States,Oil & Gas Operations,55.043749999999996,4.715262500000001,173.4175,80.9075,0.09908505192550969,0.0742700890888242,1.0355473229249361,False,0,0,0.2764515209907208,0,2,Value Opportunities
14,Toyota Motor,Japan,Consumer Durables,55.043749999999996,4.715262500000001,173.4175,80.9075,0.10905143079366109,0.05585896648462011,0.40568715658770604,False,1,0,0.14710159022885372,0,2,Value Opportunities
15,HSBC Holdings,United Kingdom,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.15814113597246127,0.0076133971926219315,0.06501715251653105,False,1,0,0.0793052437693395,0,2,Value Opportunities
16,Wells Fargo,United States,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.16129032258064516,0.01025478000933185,0.1166173582661218,False,1,0,0.09194151268921516,0,2,Value Opportunities
17,UnitedHealth Group,United States,Insurance,55.043749999999996,4.715262500000001,173.4175,80.9075,0.053918938691898746,0.07137092869363117,1.2361276994092771,False,0,0,0.2973414868360674,0,2,Value Opportunities
18,Walmart,United States,Retailing,55.043749999999996,4.715262500000001,173.4175,80.9075,0.028546674694195216,0.07453416149068323,2.9227819952457637,False,0,0,0.6257887335231042,0,2,Value Opportunities
19,Samsung Electronics,South Korea,Technology Hardware & Equipment,55.043749999999996,4.715262500000001,173.4175,80.9075,0.11172551330281466,0.07052730966209836,0.743240536751452,False,1,0,0.22154923653625563,0,2,Value Opportunities
20,Goldman Sachs Group,United States,Diversified Financials,55.043749999999996,4.715262500000001,173.4175,80.9075,0.1239070696977267,0.008425821064552662,0.0958890147225368,False,1,0,0.07211095924941911,0,2,Value Opportunities
20,Meta Platforms,United States,IT Software & Services,55.043749999999996,4.715262500000001,173.4175,80.9075,0.3790881458966565,0.15907668132259012,3.2696614925933623,False,1,0,0.8691982294063711,0,2,Value Opportunities
22,Citigroup,United States,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.07851386584498697,0.005152614611648409,0.04970231498224778,False,0,0,0.04340705517910371,0,2,Value Opportunities
23,Shell Plc,United Kingdom,Oil & Gas Operations,55.043749999999996,4.715262500000001,173.4175,80.9075,0.05680456691803511,0.04158819431903202,0.5045019478341632,False,0,0,0.1402574940616595,0,2,Value Opportunities
24,Morgan Stanley,United States,Diversified Financials,55.043749999999996,4.715262500000001,173.4175,80.9075,0.14109399684044233,0.010989771591171267,0.14389756210105362,False,1,0,0.08961301979285616,0,2,Value Opportunities
25,Allianz,Germany,Insurance,55.043749999999996,4.715262500000001,173.4175,80.9075,0.06323520630560697,0.009790507183403286,0.14565575134515468,False,0,0,0.05834143566463504,0,2,Value Opportunities
26,RBC,Canada,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.13107092054460476,0.008526783353603722,0.10997567553275871,False,1,0,0.07783421666583513,0,2,Value Opportunities
27,Ping An Insurance Group,China,Insurance,55.043749999999996,4.715262500000001,173.4175,80.9075,0.11145569620253164,0.009919841372667203,0.060425972972516236,False,1,0,0.06063540962458278,0,2,Value Opportunities
28,PetroChina,China,Oil & Gas Operations,55.043749999999996,4.715262500000001,173.4175,80.9075,0.05963924512563862,0.060668734918993446,0.3616259645215178,False,0,0,0.12044838492215638,0,2,Value Opportunities
29,Santander,Spain,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.09318259677971909,0.0071492403932082215,0.058040267045155865,False,0,0,0.051740788278202096,0,2,Value Opportunities
30,Chevron,United States,Oil & Gas Operations,55.043749999999996,4.715262500000001,173.4175,80.9075,0.09128030185558485,0.06873199968864327,0.9430995563166498,False,0,0,0.25262483188102125,0,2,Value Opportunities
30,Verizon Communications,United States,Telecommunications Services,55.043749999999996,4.715262500000001,173.4175,80.9075,0.13142139108581566,0.046745188768535076,0.4649805447470817,False,1,0,0.16426274089115664,0,2,Value Opportunities
32,China Mobile,Hong Kong,Telecommunications Services,55.043749999999996,4.715262500000001,173.4175,80.9075,0.13394839067702552,0.065879703865443,0.7624100167172734,False,1,0,0.2324132411604421,0,2,Value Opportunities
33,Alibaba Group,China,Retailing,55.043749999999996,4.715262500000001,173.4175,80.9075,0.12258963267101694,0.06579309802069806,1.1233227088498015,False,1,0,0.30001763404664633,0,2,Value Opportunities
34,Mitsubishi UFJ Financial,Japan,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.1536249251048532,0.004876156280428433,0.05316988193768257,False,1,0,0.07403440894164917,0,2,Value Opportunities
35,AT&T,United States,Telecommunications Services,55.043749999999996,4.715262500000001,173.4175,80.9075,0.0963963231107134,0.029813570835534754,0.4841874858479885,False,0,0,0.14732145474809696,0,2,Value Opportunities
35,BNP Paribas,France,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.07041661664065314,0.004187894734963031,0.033381769626516906,False,0,0,0.03651815847554985,0,2,Value Opportunities
37,Tencent Holdings,China,IT Software & Services,55.043749999999996,4.715262500000001,173.4175,80.9075,0.29398299542184436,0.1105327868852459,2.3043852459016394,False,1,0,0.622683362103164,0,2,Value Opportunities
38,Taiwan Semiconductor,Taiwan,Semiconductors,55.043749999999996,4.715262500000001,173.4175,80.9075,0.3875637098124461,0.15907668132259012,3.2696614925933623,False,1,0,0.872588454972687,0,2,Value Opportunities
39,China Merchants Bank,China,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.2930225948557624,0.012385648985181671,0.08641723178943196,False,1,0,0.139446743894264,0,2,Value Opportunities
40,Deutsche Telekom,Germany,Telecommunications Services,55.043749999999996,4.715262500000001,173.4175,80.9075,0.0967896502156205,0.03565230180908957,0.5109869098396823,False,0,0,0.1551741627778205,0,2,Value Opportunities
41,TotalEnergies,France,Oil & Gas Operations,55.043749999999996,4.715262500000001,173.4175,80.9075,0.08067484662576686,0.055273389610844506,0.4407509895267785,False,0,0,0.14252949240000026,0,2,Value Opportunities
42,Johnson & Johnson,United States,Drugs & Biotechnology,55.043749999999996,4.715262500000001,173.4175,80.9075,0.2441509011530281,0.11261424071874838,1.9234264470491043,False,1,0,0.5273913461585314,0,2,Value Opportunities
43,Comcast,United States,Media,55.043749999999996,4.715262500000001,173.4175,80.9075,0.12714470702492717,0.05866975389326662,0.4786944019120888,False,1,0,0.17006466474969528,0,2,Value Opportunities
44,AXA Group,France,Insurance,55.043749999999996,4.715262500000001,173.4175,80.9075,0.07112290311537145,0.012275285463166759,0.14820449946083283,False,0,0,0.06300017532358185,0,2,Value Opportunities
45,Reliance Industries,India,Oil & Gas Operations,55.043749999999996,4.715262500000001,173.4175,80.9075,0.0722173531989483,0.03611500701262272,0.9024807152875175,False,0,0,0.2238290871421319,0,2,Value Opportunities
46,TD Bank Group,Canada,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.07274590163934426,0.00442037106213423,0.07531924902115414,False,0,0,0.04593035888482222,0,2,Value Opportunities
47,NVIDIA,United States,Semiconductors,55.043749999999996,4.715262500000001,111.6,80.9075,0.3875637098124461,0.15907668132259012,3.2696614925933623,False,1,0,0.872588454972687,0,2,Value Opportunities
48,Nestl̩,Switzerland,"Food, Drink & Tobacco",55.043749999999996,4.715262500000001,153.67,80.9075,0.1191554998553938,0.08043209474848702,1.728704366499642,False,1,0,0.42557591114148074,0,2,Value Opportunities
49,LVMH Louis Vuitton Moet Hennessy,France,Household & Personal Products,55.043749999999996,4.715262500000001,154.49,80.9075,0.14825327510917033,0.08790212958767557,1.8322221503009903,False,1,0,0.46090659193893646,0,2,Value Opportunities
50,American Express,United States,Business Services & Supplies,55.043749999999996,4.715262500000001,173.4175,80.9075,0.1354042214257268,0.036139455782312924,0.657312925170068,False,1,0,0.2000800559172295,0,2,Value Opportunities
51,Sinopec,China,Oil & Gas Operations,55.043749999999996,4.715262500000001,173.4175,80.9075,0.017919860537852182,0.023380272268120547,0.3163528113188614,False,0,0,0.07979061538616138,0,2,Value Opportunities
52,BBVA-Banco Bilbao Vizcaya,Spain,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.11983976855457883,0.013465529744192442,0.10191042984671551,False,1,0,0.07370420528885162,0,2,Value Opportunities
53,HDFC Bank,India,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.15026929982046677,0.01628721541155867,0.33292469352014015,False,1,0,0.13320754479683822,0,2,Value Opportunities
54,Volkswagen Group,Germany,Consumer Durables,55.043749999999996,4.715262500000001,173.4175,55.71,0.03303149382083262,0.016890662084831896,0.08111886075396421,False,0,0,0.03619263451305865,0,2,Value Opportunities
55,State Bank of India,India,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.12227524829098414,0.011201701524282171,0.09858206309819215,False,1,0,0.07310719254574496,0,2,Value Opportunities
56,Sumitomo Mitsui Financial,Japan,Banking,55.043749999999996,4.715262500000001,173.4175,80.9075,0.1345613487355604,0.004358069506658442,0.044465453957147336,False,1,0,0.064460858088317,0,2,Value Opportunities
57,Bank of Communications,China,Banking,55.043749999999996,4.715262500000001,173.4175,64.43,0.1611499406567322,0.0059860879788380525,0.031561673361418636,False,1,0,0.07316674612651183,0,2,Value Opportunities
57,Sony,Japan,Technology Hardware & Equipment,55.043749999999996,4.715262500000001,173.4175,80.9075,0.08207153829273646,0.032662329155932056,0.6459979913540893,False,0,0,0.17509314525028527,0,2,Value Opportunities
59,Postal Savings Bank Of China (PSBC),China,Banking,55.043749999999996,4.715262500000001,173.4175,60.98,0.14777477255962626,0.005135347597238362,0.02605270353407615,False,1,0,0.06637458876956108,0,2,Value Opportunities
60,Procter & Gamble,United States,Household & Personal Products,55.043749999999996,4.715262500000001,122.98,80.9075,0.18467770761348742,0.12603675394373068,3.070174012034477,False,1,0,0.7383205870297826,0,2,Value Opportunities
61,Intesa Sanpaolo Assicura,Italy,Insurance,55.043749999999996,4.715262500000001,173.4175,80.9075,0.16892013701099692,0.00969557749218766,0.09755592806440265,False,1,0,0.09095747141415436,0,2,Value Opportunities
